"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","1950",10982,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","1970",16648,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","1980",18974,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","1981",18951,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","1982",18923,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","1983",18991,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","1984",18968,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","1985",18975,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","1986",18890,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","1987",18867,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","1988",18928,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","1989",19078,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","1990",18893,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","1991",19171,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","1992",19503,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","1993",19800,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","1994",19739,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","1995",19839,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","1996",19949,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","1997",20171,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","1998",20393,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","1999",20836,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","2000",21944,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","2001",22277,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","2002",22332,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","2003",22356,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","2004",22548,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","2005",22680,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","2006",22804,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","2007",22961,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","2008",23083,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","2009",23988,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","2010",23539,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","2011",23767,
"CZE","FORESTRESOURCE","GROSSINCREASE","THND_M3","A","2012",23909,
